indices,6-8 PM FRI,8-10 PM FRI,8-10 AM SAT,10 AM-12 PM SAT,12-2 PM SAT,2-4 PM SAT,4-6 PM SAT,6-8 PM SAT
1,,,Wind Power (Principal),Wind Power (Principal),Wind Power (Principal),Wind Power (Principal),Wind Power (Principal),Wind Power (Principal)
2,,Microbe Mission,Forestry,Robot Tour,,,,
3,Forestry,Forestry,,,,Microbe Mission,Microbe Mission,Microbe Mission
4,Codebusters (Principal),Codebusters (Principal),Codebusters (Principal),Codebusters (Principal),Figure That (Principal),Codebusters (Principal),Figure That (Principal),Codebusters (Principal)
5,Fossils,,,Forensics,Scrambler,Air Trajectory,Experimental Design,Disease Detectives
6,Forestry,,Disease Detectives,Flight,Air Trajectory,,,
7,Fossils,Fossils,,Astronomy,Forensics,,Astronomy,Astronomy
8,,,,,,Optics,,Air Trajectory
9,,,Ecology,Scrambler,Flight,Flight,Write It Do It,Figure That
10,,,,,,Robot Tour,,Tower
11,Disease Detectives,Disease Detectives,,,,Disease Detectives,Disease Detectives,Anatomy and Physiology
12,,Flight,Flight,Flight,Experimental Design,Experimental Design,Robot Tour,Robot Tour
13,,,,Forestry,,,,
14,,,,Dynamic Planet,,,,Fossils
15,,Fossils,Fossils,Experimental Design,Experimental Design,Experimental Design,Experimental Design,Experimental Design
16,,,,,Wind Power,Air Trajectory,,
17,,,Flight (Principal),Tower (Principal),Microbe Mission (Principal),Air Trajectory (Principal),Experimental Design (Principal),
18,,,,,,,Robot Tour,
19,,,Scrambler,,,,,
20,Robot Tour (Principal),Robot Tour (Principal),Robot Tour (Principal),Robot Tour (Principal),Robot Tour (Principal),Robot Tour (Principal),Air Trajectory (Principal),Robot Tour (Principal)
21,Wind Power,Wind Power,,,,,,
22,,,Detector Building,Optics,Detector Building,Wind Power,Detector Building,Forensics
23,,,,Anatomy and Physiology,,,,Forestry
24,Dynamic Planet,Dynamic Planet,,,,,,Dynamic Planet
25,Air Trajectory (Principal),Forensics (Principal),,,,,Detector Building (Principal),Air Trajectory (Principal)
26,,Tower,,,,,,Tower
27,,,,,Ecology,Ecology,Ecology,Ecology
28,Wind Power,Wind Power,,,,,,
29,Microbe Mission,Microbe Mission,,,,,,
30,Microbe Mission (Principal),Anatomy and Physiology (Principal),Forestry (Principal),Forestry (Principal),Forestry (Principal),Forestry (Principal),Robot Tour (Principal),Forestry (Principal)
31,,,,Wind Power,Wind Power,,,
32,,,,Experimental Design,Write It Do It,Experimental Design,,
33,,,,,Forestry,,,
34,Forensics (Principal),Wind Power (Principal),Dynamic Planet (Principal),Pokemon Pset (Principal),Pokemon Pset (Principal),Figure That (Principal),Flight (Principal),Forensics (Principal)
35,Write It Do It (Principal),,Write It Do It (Principal),Write It Do It (Principal),Write It Do It (Principal),Flight (Principal),Write It Do It (Principal),Write It Do It (Principal)
36,Tower,,Astronomy,Flight,Experimental Design,Fossils,Experimental Design,Write It Do It
37,Ecology,Ecology,,Flight,Flight,Flight,Forestry,Scrambler
38,,,,,,,,
39,Anatomy and Physiology (Principal),Flight (Principal),Anatomy and Physiology (Principal),Scrambler (Principal),Tower (Principal),Write It Do It (Principal),Pokemon Pset (Principal),Detector Building (Principal)
40,Scrambler,Scrambler,Scrambler,Scrambler,Flight,Robot Tour,Tower,Tower
41,,,Forensics (Principal),Forensics (Principal),Forensics (Principal),Forensics (Principal),Forensics (Principal),
42,Dynamic Planet,,,Write It Do It,Dynamic Planet,Write It Do It,Fossils,
43,Experimental Design,Write It Do It,Write It Do It,Write It Do It,Write It Do It,Write It Do It,Write It Do It,Write It Do It
44,,,,Write It Do It,Fossils,Dynamic Planet,Astronomy,Astronomy
45,Anatomy and Physiology,Anatomy and Physiology,,Pokemon Pset,Disease Detectives,,,
46,,,,,,Scrambler,Scrambler,Scrambler
47,,,,Tower,Tower,Tower,,
48,,Experimental Design (Principal),Detector Building (Principal),Experimental Design (Principal),Codebusters (Principal),Pokemon Pset (Principal),Dynamic Planet (Principal),Pokemon Pset (Principal)
49,,,Tower,Air Trajectory,Tower,Tower,Tower,
50,Flight (Principal),Air Trajectory (Principal),Figure That (Principal),Anatomy and Physiology (Principal),Scrambler (Principal),Tower (Principal),,
51,,,Microbe Mission (Principal),Microbe Mission (Principal),Air Trajectory (Principal),Disease Detectives (Principal),,
52,Experimental Design (Principal),Pokemon Pset (Principal),Experimental Design (Principal),Air Trajectory (Principal),Experimental Design (Principal),Experimental Design (Principal),Codebusters (Principal),Experimental Design (Principal)
53,,,,Flight,,,,Microbe Mission
54,,,,Air Trajectory,Detector Building,Detector Building,Wind Power,Wind Power
55,,,,,,Air Trajectory,,
56,,Wind Power,Wind Power,Wind Power,Air Trajectory,Wind Power,Air Trajectory,Air Trajectory
57,,,Detector Building,Detector Building,,,,
58,Pokemon Pset,,Pokemon Pset,Tower,Scrambler,Detector Building,Pokemon Pset,Pokemon Pset
59,,,,Flight,,,,
60,,,,Dynamic Planet,Forensics,Astronomy,,Fossils
61,,,,Write It Do It,Flight,Pokemon Pset,Anatomy and Physiology,Wind Power
62,,,,,Microbe Mission,,,
63,,,,,Write It Do It,Forestry,Forestry,
64,,,Air Trajectory (Principal),Flight (Principal),Flight (Principal),Scrambler (Principal),Scrambler (Principal),Scrambler (Principal)
65,,,Optics (Principal),Optics (Principal),Optics (Principal),Optics (Principal),Optics (Principal),Optics (Principal)
66,,,,,Air Trajectory,,,
67,,,,Tower,,Tower,,
68,,,Detector Building,Detector Building,,Forensics,,
69,,,,,,Dynamic Planet,Dynamic Planet,Dynamic Planet
70,,,,Disease Detectives,,,,
71,,Detector Building (Principal),Pokemon Pset (Principal),Detector Building (Principal),Detector Building (Principal),Detector Building (Principal),,
72,Disease Detectives (Principal),Disease Detectives (Principal),Disease Detectives (Principal),Figure That (Principal),Anatomy and Physiology (Principal),Anatomy and Physiology (Principal),Anatomy and Physiology (Principal),Anatomy and Physiology (Principal)
73,,,Astronomy,Fossils,Dynamic Planet,,,
74,,,Air Trajectory,Air Trajectory,Optics,,Detector Building,Forensics
75,,,,Experimental Design,Astronomy,Write It Do It,,
76,,,,Wind Power,Wind Power,,,
77,,,Forensics,Forensics,Robot Tour,Forensics,,
78,,,Anatomy and Physiology,,,,,
79,,,Scrambler,Robot Tour,Tower,Scrambler,Tower,Robot Tour
80,Optics,Optics,Optics,Forensics,Pokemon Pset,Wind Power,Wind Power,Wind Power
81,Robot Tour,Robot Tour,Robot Tour,Robot Tour,Robot Tour,Robot Tour,,
82,,Forestry (Principal),,Disease Detectives (Principal),,Microbe Mission (Principal),,
83,,,Air Trajectory,Air Trajectory,Detector Building,Air Trajectory,Detector Building,
84,,,,,Forensics,Forensics,,
85,,,,Detector Building,Disease Detectives,Detector Building,Optics,Disease Detectives
86,,,,Ecology,,Robot Tour,Microbe Mission,Robot Tour
87,,,,,Anatomy and Physiology,Anatomy and Physiology,Air Trajectory,Optics
88,,,,,,,Tower,
89,,,,Microbe Mission,Air Trajectory,Robot Tour,Disease Detectives,Write It Do It
90,,,,,Experimental Design,Experimental Design,Experimental Design,
91,,,,Fossils,Fossils,Fossils,Fossils,
92,,,,Astronomy,Astronomy,Astronomy,,
