names,6-8 PM FRI,8-10 PM FRI,8-10 AM SAT,10 AM-12 PM SAT,12-2 PM SAT,2-4 PM SAT,4-6 PM SAT,6-8 PM SAT
Air Trajectory,0,1,1,5,4,2,2,4
Anatomy and Physiology,2,2,2,2,2,2,2,2
Astronomy,2,0,2,2,2,2,2,2
Chem Lab,0,0,0,0,0,0,0,0
Codebusters,1,1,0,1,1,1,1,1
Detector Building,0,4,4,4,4,4,4,4
Disease Detectives,1,2,2,2,2,2,2,2
Dynamic Planet,2,2,1,2,2,2,2,2
Ecology,0,1,1,1,1,1,1,1
Experimental Design,1,2,3,5,5,4,3,0
Fermi Questions,0,0,0,0,0,0,0,0
Flight,0,0,5,7,7,7,7,7
Forensics,0,4,0,3,3,4,0,1
Forestry,1,0,2,2,2,2,0,1
Fossils,2,2,0,2,2,2,2,2
Geologic Mapping,0,0,0,0,0,0,0,0
Microbe Mission,2,0,2,2,2,2,2,2
Optics,1,0,2,2,2,2,2,2
Robot Tour,3,0,0,6,6,6,6,3
Scrambler,3,3,0,3,3,3,0,3
Tower,2,3,4,4,4,3,0,1
Wind Power,0,0,1,4,4,4,4,4
Write It Do It,3,0,5,3,1,5,5,1
Figure That,0,1,1,1,1,1,1,1
Pokemon Pset,2,2,2,2,2,2,2,2
Tournament Tycoon,0,0,0,0,0,0,0,0
