names,6-8 PM FRI,8-10 PM FRI,8-10 AM SAT,10 AM-12 PM SAT,12-2 PM SAT,2-4 PM SAT,4-6 PM SAT,6-8 PM SAT
Air Trajectory,1,1,3,5,5,5,3,3
Anatomy and Physiology,2,2,2,2,2,2,2,2
Astronomy,0,0,2,2,2,2,2,2
Chem Lab,0,0,0,0,0,0,0,0
Codebusters,1,1,1,1,1,1,1,1
Detector Building,0,1,4,4,4,4,4,1
Disease Detectives,2,2,2,2,2,2,2,2
Dynamic Planet,2,1,1,2,2,2,2,2
Ecology,1,1,1,1,1,1,1,1
Experimental Design,2,1,1,4,5,5,5,2
Fermi Questions,0,0,0,0,0,0,0,0
Flight,1,2,2,7,5,3,1,0
Forensics,1,1,2,4,4,4,1,3
Forestry,2,2,2,2,2,2,2,2
Fossils,2,2,1,2,2,2,2,2
Geologic Mapping,0,0,0,0,0,0,0,0
Microbe Mission,2,2,1,2,2,2,2,2
Optics,1,1,2,2,2,2,2,2
Robot Tour,2,2,2,4,3,6,3,4
Scrambler,1,1,3,3,3,3,2,3
Tower,1,1,1,4,4,4,4,3
Wind Power,2,4,2,4,4,4,3,4
Write It Do It,1,1,2,5,4,4,3,4
Figure That,0,0,1,1,1,1,1,1
Pokemon Pset,1,1,2,2,2,2,2,2
Tournament Tycoon,0,0,0,0,0,0,0,0
